title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
爱是什么 What is Love,rap,Pharaoh (CHN),2018,3,"{""超级橘子 (Chao Ji Ju Zi)""}","爱是一剂毒药
你心甘情愿服药
爱是一次远航
你心照不宣触礁
本无畏的世界
却迷失在妩媚的视野
本无味的世界
徒增了疑神疑鬼嗅觉
我以为你是彩虹
却成了肆虐台风
我以为你是好梦
却呼吸的像太空
那爱是什么？
这是我质问你的舞台
爱是恶魔！
是人类进步的阻碍
我发誓人工智能会把人类主宰
我发誓我们大脑早被**声色宠坏
我不能一分一秒的离开我的爱
那爱是什么？爱让我变的迟钝又痴呆
任何的时候我都在意你的任何瞬间
想跟你同床共枕想亲吻你的唇尖
想和你五指相扣却止步你的坟前
哼？
爱是什么？
也许是一切
I see something of you and me
Living two live
Tell me what you dying for
Kiss me kiss me love can release me
人性本恶
达尔文进化论里阐述
都几重人格
痛苦总伴随禅悟
可爱是什么？
一文不值又无比迷人
那爱是什么？
当宣誓换来麻木不仁
我无法离开爱
哪怕是一分一秒一帧
我感觉灵魂**拆开来
想触**的体温
到处都是你影子
沙发床单浴室镜子
反复思考早该忘掉的一个名字
爱有时是尝试放弃
是葬礼
狠下心把自己给弃尸荒野
得多么壮丽
爱如果被人类给忘记
得多么惋惜？
S**t
我不敢想象！
这好比世界末日
好比是上帝已经过时
倒计时在接近
我看见太多人崇拜着恶魔散发他的邪性
我听见阴谋脚步逐渐接近
尽管总苦海无涯也别让死水结冰
I see something of you and me
Living two live
Tell me what you dying for
Kiss me kiss me love can release me
I don’t care （I don’t care）
你如何
看待我
的世界
在崩塌
因为感受不到你的爱（I don’t care）
你如何看待我（我）
的世界会崩塌
因为感受不到你的爱",6990804,zh,zh,zh
采访 Interview,rap,Pharaoh (CHN),2018,17,"{""杨秋儒 (Yang Qiuru)""}","17年9月5号上海
我的身体正在每况日下
研究也陷入无法前进的境地
我试图寻找一些专业人士调研解析
以下是我收集的采访数据
如果你捡到这盘录像带请你注意
请保证该份研究报告的完整性
请替我向有关部门移送
必要时我希望借助你的手公之于众
感谢


“你好，请问第一次听说唱是在什么渠道”
在那节目啊，我觉得挺酷的
慢慢了解到这个群体还有些人数
“最喜欢哪个参赛人物？”
Bridge很可爱盖看起来有些不学无术
最厉害的必须是导师kriswu
不过我觉得他们的粉丝有些不太成熟诶
我才刚接触真的我挺无辜的
“哦，他们对你们做了什么事？”
诶是这样子的
他们总打字diss我们实在没什么素质
看都在评论
说我们去年在听民谣
我妈妈才听阿宝和阎维文啦我听GD呐亲们
“你有没了解过一些地下前辈？
有尝试听过啦不过别嫌我多嘴我不是批判他们的口味
不过他们饭的那些地下明星连个百度百科都没 sorry
你懂那些rapper负能量缠身见谁怼谁
今天骂TF明天骂黄子韬学不会闭嘴
所以他们没法开大型演唱会啦
其实我想看见一个歌手的正能量
我想和idol一起慢慢成长
Idol辛苦练舞努力练歌我们才会努力为他打榜
这样的idol才会得到我们的欣赏
我不太懂那些骂骂咧咧的在搞什么名堂
“你对黑怕文化怎么理解？”
街舞？鬼步，说唱，还有搓碟？
历史不太感兴趣很难把我带入
都是过程不必站在道德至高点我需要慢入

I don’t under stand 为何他们总在不停争吵
I don’t under stand 他们在为不同英雄祈祷
I don’t under stand他们是否也有孤独灵魂
I don’t under stand他们是否彼此聆听心声


17年9月21号北京
在初次采访结束后的半个月内
我拖着病体听了许多主流说唱歌曲
我认为我得寻找一些老派的说唱听众才能继续打开格局
于是我找到了第二位采访对象
他让我惊喜的同时也带给我更多思考与回想
我又开始重新燃起了希望

“自我介绍一下吧”
我住在北京老家在杭州下沙
21岁爱上黑怕
如今32了在三里屯给人理发
“你有没有看那个节目”
都是Shit 只要是real黑怕就不会参加
这种艺术宁可埋在地下也不必被迫开花
这节目恶心到我了你知道吗
“为什么这么说？现在新人和听众可是成倍增长！”
哟我管这叫拔苗助长像萝卜长到树上
不合适的两个行业偏要相互碰撞
黑怕得了传染病我给你说说症状
他们不知道Th roots不知道nas整天在网上打字
Bridge 好可爱小白好可爱哼这群傻子
还有那些花里胡哨的富二代都该死
“sorry，富二代指？”
那些唱trap的娘炮傻子
黑怕代表了贫穷
而他们却让国人误解了黑怕的本质
他们应该洗盘子他们应该了解了解政治
他们不配拿麦克风他们只配做儿子他们应该像穿大点儿的裤子
他们该听realshit隐藏或者龙胆紫而不是把脑袋嗑药嗑成浆糊屎
“抱歉请避免脏话。”理解
“你对黑怕文化怎么理解？”
街头自由Scratchrapper
街舞涂鸦街球
一个我的老战友
粗鲁的歌词正能量的背后
请慢慢吸收 take it slow
这本嘻哈圣经送你 peace love

I don’t under stand 为何他们总在不停争吵
I don’t under stand 他们在为不同英雄祈祷
I don’t under stand他们是否也有孤独灵魂
I don’t under stand他们是否彼此聆听心声


17年9月26日重庆
此刻我正听着GAI的空城计
我对说唱的理解越发模糊
我需要一些新鲜血液把我说服
我找到了新的采访对象
他几乎全程用了所谓freestyle的形式对讲
这一点让我感到兴奋异常
他说的话也终于让我的研究动力有了一丝推涨


“你从什么时候开始听说唱？”
听了两年多，啥子样的歌我都听过
“你觉得现在说唱为什么这么火？”
总觉得你长得很像一个人来着
“什么？”
Sorry，我继续说，
你说为啥子火？嗯因为我们与众不同
脏辫纹身听的歌比一般人dope
“你最喜欢哪个说唱歌手，为何你觉得他最棒。”
海尔兄弟啊他们靠音乐买了栋房，
把中国音乐带向国际就是他吗这么狂！
他们是中国人的骄傲不像那个节目里的fake傻帽
Yo说你呢傻屌法老
土鳖就是土鳖别老在网络上发飙
“抱歉请不要说脏话”
OKOKOK
“你怎么看那些听众，我指节目播出后的”
大部分是弱智
嫌黑怕脏就干脆别听咯
看我们富裕了就嫉妒拜金？
嗯？买块好的表咋子？不行吗？
去看看migos再看看你们穿的啥子德行
崇尚美丽是人类天性
我们应该享受生活趁自己还年轻
“那些老一辈说唱听众好像认为你们在误入歧途。”
爱他们咋子说咋子说
但你给我记住！
也许你不喜欢trap但是别想阻止黑怕的进步！
你有你的价值观但我们未必要同路
看看我们的总数Look
黑怕没人可以定论
大家没得名气也都挺渺小
哎哎哎吗的我记起来了
你长的像..法老

I don’t under stand
为何他们总在不停争吵
I don’t under stand
他们在为不同英雄祈祷
I don’t under stand
他们是否也有孤独灵魂
I don’t under stand
他们是否彼此聆听心声

都2072年了
谁还听说唱啊",6990805,zh,zh,zh
未来 Future,rap,Pharaoh (CHN),2018,3,"{""Lil Jet""}","Young boy是否向往未来
那就来到我的台下先睹为快
你还在好奇为何颠倒黑白
不足为快
因为我来自未来未来未来未来
法老：
未来 yeah
你看不到的这的未来
未来
属于我们这类特别的鬼才
未来未来未来未来未来
布朗博士带我回到我的未来
未来没有你的对白未来没有废柴
未来都是肥宅但都比你会rap

我在未来等你（等你）
我在废柴堆里创造神迹（神迹）
想我毁在你手里？（nono）
那就加入勇敢者的游戏（没戏）
当你濒死没人给你救济（救济）
你这样的废物全世界有六亿
我可没空为你驻足留意（留意）
给我看看你的实力我说实际
实习的别想留下几个世纪（世纪）
抓住时机进入时间裂隙
我不介意强的对手好比瑞克莫蒂
谁叫我是未来十大最强之一
为什么为什么你要学我
为何你妈没有教你不要玩火
为什么你不懂已经回到了战国
为什么遇到我都必须得散伙
我说未来（yeah）
你看不到的这的未来
未来
属于我们这类特别的鬼才
未来未来未来未来未来
布朗博士带我回到我的未来
未来没有你的对白未来没有废柴
未来都是肥宅但都比你会rap

Lil.Jet：
未来
你看不到的但也逃不掉的这是未来
未来属于我们这类特别的鬼才
我的沸腾在我这里带领建筑我的未来
如果你不信你以后也一定会再回来

Til ta
时间会带你看清楚地下
就像是放进了巨大的漏斗
实力会让我的体积变大
从十五到十七
我没白练
AFSC
We like gang
舞台上年轻的boss
都在双眼盯着我
偶尔上点新的货
收的下野心的锅
无人问津做到world wide
开始生气开始破坏
一步一步爬到塔
在看看你怎么说
Young boy是否向往未来
那就来到我的台下先睹为快
你还在好奇为何颠倒黑白
不足为快
因为我来自未来未来未来未来

我说未来（yeah）
你看不到的这的未来
未来
属于我们这类特别的鬼才
未来未来未来未来未来
布朗博士带我回到我的未来
未来没有你的对白未来没有废柴
未来都是肥宅但都比你会rap

未来
你看不到的但也逃不掉的这是未来
未来属于我们这类特别的鬼才
我的沸腾在我这里带领建筑我的未来
如果你不信你以后也一定会再回来",6990806,zh,zh,zh
回家 Go Home,rap,Pharaoh (CHN),2018,1,"{""杨秋儒 (Yang Qiuru)""}","小时候妈妈带我坐三轮车
我总是扯着嗓子大喊“喂三轮车！”
时光是一辆单程车
如今我已经找不到那辆三轮车
街边都是排放的尾气
我的生活也和妈妈渐渐远离
搬离小城市住到大上海
在各种舞台戴上了各种面具
没有家乡菜
嗯没有家乡菜
但是不知何时我也开始赌气
恨自己不够优秀
满身的骨气
没脸面对家里的好酒肉
是一场苦旅
住过20块的酒店
被人骗走几千
那时我每周都在庙里求签
社会是个吃人的魔窟
我才明白他的恐怖
我只是想回家
有点累了
想回家看看
想看看家是否也变了
有点累了
想回家看看
想看看家是否也变了
妈你知道我是爱你的
有些话我不直说
我有自己的执著
曾经我觉得你烦
在你身边我感觉无自由
这就是爱吧
随风飘来不必索求
我爸爸总是沉默
从不会低头向任何人去认错
如今我才明白他的奔波
我无法想象那些日子换我如何撑过

家永远是最后的港湾 yeah yeah yeah
出门在外的我们更能能够感知 yeah yeah
家永远是最后的港湾 yeah yeah yeah
出门在外的我们更能能够感知 yeah yeah

我只是想回家
有点累了
想回家看看
想看看家是否也变了
Yeah
我想回家
有点累了
想回家看看
想看看家是否也变了
想看看家是否也变了",6990807,zh,zh,zh
我想 part2 I Wanna Part.2,rap,Pharaoh (CHN),2018,18,"{""杨秋儒 (Yang Qiuru)""}","他们说他变了
歌词不再免费了
跑去洛杉矶演出甚至可以免签了
拿下几十万的酬劳生活不再艰险
不再筹钱拍摄8000
吃顿午饭不再差钱
路人开始找他签名和时尚杂志搭边
收到了很多礼物源源不断的明信片
那得之不易的光鲜
没有埋没他的历练
但是有些东西至今仍在他的骨子里面
就像此时此刻他的交通工具仍叫地铁
人来人往谁又在乎他是什么逼脸
为了成功他在八点半用安眠药来入夜
在你玩闹之时他在健身房里付出一切
手机app里三个学习英语软件
睁开眼睛2pac海报贴在他的床沿
Black God告诉他不能满足拥有的一切
他希望自己名字伴随你的每个日夜

我想呼风唤雨
用奇妙旋律
我想一日千里
踩疯狂节奏
我想遨游四海
让音乐做舟
我想睡在梦里
醒在梦境

他还有很多梦想必须实现
但需要时间
他想看见太阳却总有乌云遮挡视野
别人想得到镶满宝钻红灯绿酒之鞋
他却偏偏钟爱布鞋迈步每个台阶
外公说有实力的人必须保持谦逊
但满大街的忙人却爱等待漫天馅饼
曾经他渴望名利错失一段爱情
如今他看淡风月把心事给埋藏在了心底
他的话在变少总埋头苦干不喘息
即使他即刻逝世也能出版四张专辑
他必须努力
朋友问何必？
也许为何力
也许为人们明白说唱不是儿戏
为了有天他的父亲递给同事耳机
自豪他儿子是个了不起的说唱巨星
他记得那些无人问津的岁月
他希望自己名字伴随你的每个日夜

我想呼风唤雨
用奇妙旋律
我想一日千里
踩疯狂节奏
我想遨游四海
让音乐做舟
我想睡在梦里
醒在梦境

他到底属于哪？
这答案已经明了
他代表智慧
代表黎明降临前的鸣鸟
他曾在地下留有光辉领你寻宝
如今他正在走向伟大你能感知讯号
缺乏物质会不太舒服但他懂得知足
只有家人才是神赐福的完美艺术
也许会有人给你阻挠但你要记住
愤怒才不会让你升华只会让你迷路
无论你身处何方
无论这世界有多疯狂
也别让俗套生活掩盖你的锋芒
当你拿起公文包挤进上班队列
天真在随着你的年龄逐渐退却
我知道欲望总是让人无法拒绝
但不要尝试与恶魔去交换那副对戒
当你失意之时留声机里还有音乐
他会循环播放伴随你的每个日夜

我想呼风唤雨
用奇妙旋律
我想一日千里
踩疯狂节奏
我想遨游四海
让音乐做舟
我想睡在梦里
醒在梦境",6990808,zh,zh,zh
AFK,rap,Pharaoh (CHN),2018,11,"{""泠风 (DurgaLF)"",""Buzzy (CHN)""}","“Oldschool *”
“for my homie
“你现在过得还好吗？”
我曾经有个朋友
他来自另个世界
自从他高中毕业
就开始了他的失业
他家人让他出去工作
他却丧失了斗志
在网吧里打游戏
日以继夜奋战的日子
从开始选择阵营
到部署团队阵型
他付出全部真心
也渴望能受尊敬
最开始父母争吵让他无法专心
他只在虚拟世界里面能够得到一丝关心
每日网吧里面通宵如同醉生梦死
奶奶打扫时扔掉他攻略当成废纸
而他也像堆废纸无所谓被谁对折
反正他如此随和
打开好友搜索贝壳
那是个有点傻傻的人类牧师
贝壳的QQ头像很土是只小白兔子
他们在东泉谷里看雪在纳格兰上盘旋
才以为爱情将至却只温情十三天
贝壳最后回复是
我得去复读考试
隔屏幕拉勾小指
答应不可能会消失
从此便再无消息
这故事戛然而止
他不愿找现实的朋友倾诉
怕变成别人耳屎
另一个世界都在嘲笑他的幼稚
父母却努力安排他和不爱的人结婚生子
他没有能力恋爱在青春洋溢的二十岁
他越加颓废游戏时间增加二十倍
平常的太阳 无常的发光
见惯的明天 昙花般绽放
普通的人儿 难得朝你身边往
平常的见惯的普通的都成为灰色的头像
他渐渐开始变强
坐拥了公会会长
几百人扛在肩上
也总微笑不慌不忙
麦当劳是个职业
挣点卡为个世界
亲人说他是不孝子
是网瘾该被电了
可是他每次上线
心才能够感受炽烈
带兄弟突破每个上限
这才是他的事业
那是08年5月12开荒太阳井的下午
MT突然掉线
便从此没再上线
他解散公会
偶尔也躲起落泪
每行走一段旅程
列表都有人变灰
等来了以为等不来的那个WLK
也终于等来下定决心的AFK
“我决定试着做个正常的人”
这是他留给我的最后消息
我知道他的痛苦挣扎
所以我表示同意
也许我们这些年的奋斗不过是场儿戏
如今也不知道他到底如不如意
另一个世界能否接纳他的三十而立
他妈妈也许会把他托给百杂店的二姨
在这个世界学到的技巧有些不合时宜
也许他会在无意间播放起这张CD
惊讶这字里行间这些故事与他如此如一
圣光给他的勇气是否会离他而去
我在凌晨两点不断的嘟囔自言自语
太多的烦恼无止境地打扰我的思绪
平常的太阳
无常的发光
见惯的明天
昙花般绽放
普通的人儿
难得朝你身边往
平常的见惯的普通的都成为灰色的头像
你会怀念吗
那无数的日夜
从一个世界到另一个世界
信仰的圣光
照耀在地上
看到的希望
你给的力量",6990809,zh,zh,zh
2008.5.12 Skit,rap,Pharaoh (CHN),2018,1,{},"这个哥们儿呢......是国家电网的一个司机
然后08年......就是汶川地震的那一年
他在映秀
他跟其他的三个哥们儿......就是汶川地震那一天
就是不在......
这个哥们儿呢 是国家电网的一个司机
他现在也还在国家电网做司机
08年的时候呢 他被派到映秀去
然后就是5月12号那天他跟其他的三个哥们儿翘班
开车跑到外面去打麻将去
然后呢就是打麻将打到一半突然天摇地动
眼前就是完全看不见全是灰
他们本能的反应是什么呢就是以为打仗了
然后等到就是那个灰尘平息下来
他抹去脸上的这些灰尘
跑到外面去嘛 跑到外面去抹掉脸上的这些灰尘
回头看他身后的整个映秀城
几乎所有的建筑全都倒了
几乎全部是被夷为平地
然后......
他就开着他的车就跑到他们那边映秀城边的一个河堤上
因为就知道地震了嘛
然后他们就以为河堤那边是安全的
其实安全角度来说河堤也是不安全的
因为很可能有大坝崩溃然后有水就是洪水这样冲出来
很多人都跑到那个河堤聚集在那里
就是男女老幼
说来也很奇怪整个映秀城里面
只有他这一辆车还能开
然后外界山体很多地方山体滑坡
他们也没有真的交通工具说可以往外开
又有很多人然后他们就待在那边
唯一跟外界的联系就是他们车上的那个无线电
他通过无线电知道整个汶川都地震了
才知道外面的情况
然后本来以为就是......
当灾难来临的时候人心里的想法
就是可能全世界都是这样的一个情况
然后他知道就是汶川那一片地区
是这么大一个地震
然后当时他们就开始自救嘛
在这种灾难面前呢
大家以为说可能人心都是自私的
都是只想着自己
但其实不是
他们把找到的食物还有身上一些比较好的衣服啊什么的
都留给老人和小孩
然后那些男的就是
负责照顾他们
包括去外面找一些吃的呀什么的
恩就是这个很神奇
然后呢 反正等了好多天
这个时候呢就是
一直在等救援嘛
等救援呢
去到映秀最先去的救援的部队
不是成都军区的
是最远最远的地方东北的
哈尔滨的救援部队
这批人先到了那边
然后空降救援
映秀城整个在山区被围起来了根本出不去
他们空降救援
空降救援呢 存活率只有一半
中国参与救援真正能在这种海拔上飞的飞机
只有两架黑鹰飞机
就是这个很可怕的
就是我们这个国家真正能参与救援的就只有两架黑鹰飞机
然后空降救援
空降救援的存活率只有一半很多人直接掉到那个水里就死了
就没了
然后这些人到了之后呢
救援救援那边哈尔滨军区也不答应嘛
就说士兵也是人嘛
这种存活率我们也不可能一直这样下去
一定要叫中央
然后中央那个时候才开始
派就是成都军区的部队到映秀城
然后成都军区的部队就一开始也不愿意
因为有可能有余震有疫情那里面
最后就是中央还是
坚持救人为先
所以就让他们去
去了之后他们就是凿开那个山路进到里面
然后差不多四五天之后才有第一批
成都军区的部队到里面
然后他们有那个信号车
那个信号车就是可以跟外界联系了嘛
然后哥们儿就排队打电话
一开始就是等了很久就是打第一个电话
打到他父母家没人接
心里就一下子就沉下来了
然后就又排队因为一个人打电话要轮嘛
又轮了大半个晚上
终于轮到他了
他打电话给他哥哥
他哥哥在成都
然后打过去他哥哥就是
他说的第一句话就是“我没事 我还活着”
然后从他哥哥那边也知道就是他父母也没事
然后就两个人在电话里痛哭
然后......就是那种......那种感情
然后哭完之后呢就是他们男丁开始帮助部队参与救援
地震基本上平息下来了
就开始救援
救援的时候就是
他救得第一个人
就是他过了一个礼拜要结婚的未婚妻
在他们那个国家电网的大楼下面
国家电网唯一存活的四个人就是他们四个
然后他挖出来的时候
那个他未婚妻已经完全浮肿了
完全认不出来那个人
就凭她脖子上他送给他未婚妻的那条项链
他才辨别出来哦这个是他未婚妻
就非常非常惨
然后他们又去小学救那些小孩 孩子
然后那些活着的母亲就在那个学校的旁边就看他们救援
因为救援之前那个石板下面还有那个“嘤嘤嘤”的哭声
听起来
然后当时就想用那个挖机把那个石板抬起来
整块石板抬起来
就是根本抬不起来
抬起来一点呢 就发现......
就抬起了一块
发现
下面躺了四十几个小孩
就是整齐的排成一排
就是那个时刻
当场的那种母亲的哭声
那哥们儿说是这辈子他听到过最凄惨最凄惨
就从来没有听到过人类发出这样的哭声
然后那个救援的负责人就说了
这些孩子就让他们在这里吧
就不要挖了就让他们在这里吧
到今天为止那个地方那个废墟那些小孩还躺在那里",6990810,zh,zh,zh
Hustler,rap,Pharaoh (CHN),2018,0,{},"他说

Huslter Huslter Huslter
Huslter Huslter Huslter
这就是他的梦想

他是
Huslter Huslter Huslter
Huslter Huslter Huslter
不在乎恶劣影响

他是
Huslter Huslter Huslter
Huslter Huslter Huslter
他继续保持膨胀

有天
Huslter 他死了
Huslter 他死了
Huslter 他死了
You know？
和他们在录音室
呼吸都能够闻到屎
（玩乐）已成为他正事
敲碎你纯洁的认知
十个rapper九个魂已失
还有一个只想让粉丝湿
满足于裆下美滋滋
这样的风气早该被制止

我已经表明了立场
这张是你们的遗像
网红别装rapper的样
网虫别和拳击手犟
西巴你戏霸
迷失你自我
就吸吧
从早晨吸到日落
你会无法自拔
等你五十走路用支架
法老有个毁灭计划
把你的市场彻底崩塌
和纵欲rapper们吵架
锋利的flow你无法招架
畅销至今没倒下
晚上你叫他老爸
他的歌无味像嚼蜡
我赚着大把的钞票
这些都来自良心
我赚着大把的钞票
但我的骨气足够强硬
没人能爆我的黑料
我赚钱靠良心
你的身体塞满硅胶
被你的偶像鬼迷心窍

他说
Huslter Huslter Huslter
Huslter Huslter Huslter
这就是他的梦想

他是
Huslter Huslter Huslter
Huslter Huslter Huslter
不在乎恶劣影响
他是
Huslter Huslter Huslter
Huslter Huslter Huslter
他继续保持膨胀

有天
Husltеr 他死了
Huslter 他死了
Huslter 他死了
You know？
这是说唱圈的门槛阿猫阿狗都成山
给他们听听这神专
比紫色十倍致幻
我的粉丝没瘾君子
他们对我吐心事
寄我的只有明信纸
上面邮票没被禁止
五颜六色的脏辫
昏暗绿色的光线
他的作品只有恶念
他的过瘾就是*******
说我言辞太过激烈
害死我兄弟是否细节？
我选择了拒绝
和你同流合污丢我气节
这年头
不得个抑郁都不叫时尚
这年头
娱乐至死把人变成智障
这年头
他们正在牢牢掌控着市场
这年头
我在尝试努力与之对抗

你们简直丢尽了hiphop的脸
我不想和他一样的丢人显眼
我知道他们听完这歌不会变
他会发怒准备diss受伤不听劝
Hustler
Hustlеr
Hustler
Hustler
Hustler
Hustler
Bro递给我一包薯片
我的灵感正在凸现
再给我一点时间",6990812,zh,zh,zh
如果死亡将要来临 If Death is Coming,rap,Pharaoh (CHN),2018,6,{},"当死亡将要来临
如果距离死亡还差一周
我会给你露上一手
比如说穿着拖鞋
在大礼堂里大声呼救
和所有金属乐迷
一起mosh或是pogo甩头
我不敢保证自己
死墙的时候兜里不会踹着砖头
掰碎每张我觉得烂成稀屎的专辑
冲进音像店里管你是
英语韩语还是繁体
再给自己拍个个人传记
风格有点像八英里
转头打开ps4
通关我刚买的那盘龙珠Z
如果可以的话我
还想报名参加UFC
唉还是算了吧
能多活几日就多活几日
哪怕我的心脏已经快烂了
反正也没有急事
老实说我没考驾照
但我偏要飙车在每个集市
打给每个前女友
破骂一顿结尾句加peace
屈臣氏的导购
要是和我比比
我就踢爆他的鼻子
解散活死人
然后给每个成员出首diss
突然眼前一黑倒了下去

如果死亡将要来临
我到底该如何？
是悲观在家等死
还是出门扑克？
如果死亡将来临
我到底该如何？
我想被别人记住
哪怕是个loser！

给自己留个遗嘱
为了捉弄那个律师比如
在信封里夹只
干瘪的壁虎
如果脸颊有眼泪流下
就开玩笑说
“这是大小便失禁的屁股”
在病床努力起身
拥抱那两个
正在假笑的父母
跟夹杂白发的爸爸
道歉在青春期
不尊重他的错误
想说句妈妈我爱你
怎么眼角也变的模糊
******** 我还有很多事没做
我得跟丁震好好打一架
然后再假装认个错
我这臭脾气让我失去了太多
再给几秒拜托
我还要说
告诉我你是不是真的爱过我
我在问你
别假装不知道
你知道我说的就是你
这辈子只有你一个
可以让我爱你爱到窒息
.
看我现在这样子
* 我的大限将至
对了
我走了记得给我烧
那堆放粉丝明信片的箱子
作为回报我会先替你
去看看梦芸如今的样子

如果死亡将要来临
我到底该如何？
是悲观在家等死
还是出门扑克？
如果死亡将来临
我到底该如何？
我想被别人记住
哪怕是个loser！

黑不见底的黑不见底的黑色
黑不见底的黑不见底的黑色
我在梦里还是黑洞里飞着
黑不见底的黑不见底的黑色
黑不见底也见底了黑色
有束白光在黑不见底闪着
白色闪烁在白色间隙里闪着
白色见底是白色天使在站着",6990814,zh,zh,zh
大气层 Atmosphere,rap,Pharaoh (CHN),2018,3,"{""郑宇界 (Zheng Yujie)""}","而你们离开很远很远
此刻的我还想回忆那句回响

Underground 里摸爬了8年
他的实力已达到拔尖
那时我拿着竹竿却想把巴黎铁塔搭建
所谓的青春竟然是如此一刹那间
现在我必须学会独自面对这个世界
那年他选择把音乐给当成事业
他能记起每个日夜
望着天花板努力去打开他的视野
清晨五点的少年用骄傲许下了他的誓言
一厢情愿的追逐却让步伐如火焰鸟般炽烈
他在低谷中前行不断受到恶人欺骗
他害怕每句以兄弟打头的规劝谏言
假如不想讨论感情不如划清我们界限
我可不想从做音乐变成个职业演员
外公因肺癌离世让我选择了戒烟
我总是静坐在家看书只为突破音乐界限
生活就像一个迷宫我感觉快要失去方向
幸好每当我抬头还能看见那伟大的太阳
抬起头望着无边际星空
告别的蔚蓝无忌的思念
而你们离开很远很远
此刻的我还想回忆那句回响


我庆幸还没迷失
虽然不过只是暂时
我还不必把作品给提交给拍商业片的上司
还可以放肆
像故事开端那般的随意diss
我得保持愤怒
即使我从未像现在般害怕朋友失去
那些严重隐患的地雷
与你战斗的感觉连舔酸奶盖都无法与之媲美
以前我觉得自己一世都无法成功
老师都把我丢进杂草丛中
于是我再也无法从众
在校庆演出时满脸通红只有不到四十观众
但我感受到梦想这词还未被媒体给滥用
放学三人在南关厢坐在柏树下闻着空气中的红尘那年内心保持的童真
让我能够看见一小片彩虹似的梦
直到梦想破灭有了些痛
老友的相见只有相视一笑就让回忆都留在心中我懂
Yeah 我已走的太过靠前甚至来不及去道别
Damn 我已无法回头这重任让我无法入眠
抬起头望着无边际星空
告别的蔚蓝无忌的思念
而你们离开很远很远
此刻的我还想回忆那句回响

真正陪伴我的
我会永远把你记着
如果时间倒退一些
我要看清每个人脸
听着
我还在你身边
音乐节人虽然上千
我只想看你们几眼
兄弟我心仍在起点
听着
我可不想看到录着影的智能手机
过客很多我却能记得那个熟悉的气息
我很在乎
那个为我写明信片的女孩
我很在乎
那个跑来南京送画的土鳖男孩
我很在乎
能随时给我下碗阳春面的奶奶
我很在乎
江南摩尔的追梦少年何时能回来
我早已越过
曾经仰望不可及的柏树
去看看宇宙是否像教科频道里说的这么冷酷",6990816,zh,zh,zh
开学典礼演讲 Opening Ceremony Speech,rap,AR Liu Fuyang,2018,1,{},"[Intro]
请全体同学注意
这是来自我们新校区 老校区
俗称 new school 跟 old school 的校长
A to the R 来为大家演讲

[Verse 1]
这个学期我会教你如何 破坏掉音乐圈的意识形态
扯着老板们的西式领带
把合约发给律师 确保我能一直把这些意思明白
保密协议把那涉及到的名字隐埋
我的胎记 是个麦克风
别卖 CD 了 你最多就卖个萌
你在虐待着给你钱的观众
你不需要公关 哥们你需要关公
如果 Rap 走不通 我就换上喇叭裤
带着墨镜 走着 Lady Gaga 步
给钱请大妈们 带着喇叭 堵在中国有嘻哈的演播室前大声唱着卡拉 ok 跳着恰恰舞
叼着雪茄 眨眼对手倒在街下
从小到大 只跟比我长的高的约架
[Pre-Chorus]
Ay, You don’t want no problem
哥们我把这个舞台 变成 garden

[Hook]
1234 把中文唱成法语
Hip-Hop 繁殖 速度还快过蚂蚁
A to the R 你知道我的牌子
开学典礼 现在起正式开始
Try it with me You don’t want no problem
Try it with me you don’t want no problem
Try it with me you don’t want no problem
开学典礼 现在起 正式开始

[Bridge]
把大脑放空
A to the R, I’m back to the throne
航拍摄影 视角在上空
没练好 Rap 的 Rapper 急着练唱功
What’s wrong, what’s wrong
我不觉得你们这样行得通
(A to the R 你知道我的牌子)
(开学典礼 现在起正式开始)

[Verse 2]
最近有太多八卦 在哗哗的下着
大家 blah blah 着 都说你发了片
于是我羞答答的 点开了你的主页
才发现你只配刷刷刷刷 我的马桶圈
中文差 但耍帅的英文得练过
火影忍者 你掉进了想变成名人的漩涡
我让账户影分身 用 Rap 挣钱
当 Rapper 对我的作品用着写轮眼
磕着瓜子 对着你的 Freestyle 取笑
把一面包甩你脸上 叫你表情包
什么话都能出口 嘴巴带护照
我不想做你的偶像 那样太无聊
要记得技术比颜值更真实
而 AR 的技术可以 增强你对现实的认知
[Pre-Chorus]
Man, You don’t want no problem
哥们我把这个舞台 变成 garden

[Hook]
1234 把中文唱成法语
Hip-Hop 繁殖 速度还快过蚂蚁
A to the R 你知道我的牌子
开学典礼 现在起正式开始
Try it with me You don’t want no problem
Try it with me you don’t want no problem
Try it with me you don’t want no problem
开学典礼 现在起 正式开始

[Post-Chorus]
(一首歌炸给你 80 个变换的 flow)
No no no 这里得 slow it down

[Verse 3]
说的那么快 but slow it down, homie
AR 的 flow  是好 但有个毛用
我的 hater 对我保持着 loyalty
因为不管怎么做 他们都会给我嘘
助阵 Worldwide 出征国外
剪了头发的我像木村拓哉
精气神的家族企业我没有吓唬你
这麦克风在燃烧 就像杨超越的卡路里
你的词是抄的 你的 beat 都是扒的 ay (下的)
就连你的 beef 都是假的 ay
你当你的 fans 都是瞎的
你当 AR 是吃素长大的
Gucci 在这 金链带着
但买了 没钱就隔天卖了 woah
再犯错 校长就把你开了 woah
开学快乐 开学快乐",6994307,zh,zh,zh
